"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","398"
"Cow Dung","12"
"Electricity Fuel","3"
"KeroseneFuel","37"
"LP Gas","441"
"Not Sated about Fuel","9"
"OthersFuel","5"
"Wood/FireWood","6986"
"Total","7891"
