"Population by Mother tongue","Number"
"Bankariya",""
"Female","38"
"Male","24"
"","62"
"Bhojpuri",""
"Female","35"
"Male","34"
"","69"
"Chepang",""
"Female","1100"
"Male","1137"
"","2237"
"Gurung",""
"Female","55"
"Male","51"
"","106"
"Hindi",""
"Female","4"
"Male","9"
"","13"
"Magar",""
"Female","160"
"Male","152"
"","312"
"Maithili",""
"Female","9"
"Male","18"
"","27"
"Nepali",""
"Female","9554"
"Male","8726"
"","18280"
"Newar",""
"Female","189"
"Male","171"
"","360"
"Others",""
"Female","35"
"Male","31"
"","66"
"Rai",""
"Female","10"
"Male","14"
"","24"
"Tamang",""
"Female","8680"
"Male","8143"
"","16823"
"Urdu",""
"Female","10"
"Male","10"
"","20"
