"Population by Five Years Age Group","Number"
"0-4",""
"Female","1215"
"Male","1285"
"10-14",""
"Female","1547"
"Male","1507"
"15-19",""
"Female","1020"
"Male","1078"
"20-24",""
"Female","1015"
"Male","839"
"25-29",""
"Female","989"
"Male","850"
"30-34",""
"Female","843"
"Male","742"
"35-39",""
"Female","762"
"Male","707"
"40-44",""
"Female","603"
"Male","608"
"45-49",""
"Female","502"
"Male","527"
"50-54",""
"Female","390"
"Male","431"
"55-59",""
"Female","402"
"Male","447"
"5-9",""
"Female","1543"
"Male","1704"
"60-64",""
"Female","327"
"Male","365"
"65-69",""
"Female","194"
"Male","217"
"70-74",""
"Female","132"
"Male","140"
"75+",""
"Female","116"
"Male","119"
