"Number of households by type of outer wall","Number"
"BambooWall","3122"
"Cement Bonded Bricks/Stone Wall","710"
"Mud Bonded Bricks/Stone Wall","235"
"Not stated","45"
"Others","165"
"Unbaked Bricks","54"
"Wood/Planks","39"
"Total","4370"
