"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4"
"Cow Dung","0"
"Electricity Fuel","0"
"KeroseneFuel","18"
"LP Gas","1"
"Not Sated about Fuel","13"
"OthersFuel","0"
"Wood/FireWood","2580"
"Total","2616"
