"Population by Five Years Age Group","Number"
"0-4",""
"Female","1814"
"Male","1711"
"10-14",""
"Female","1658"
"Male","1815"
"15-19",""
"Female","958"
"Male","1128"
"20-24",""
"Female","1012"
"Male","947"
"25-29",""
"Female","992"
"Male","1036"
"30-34",""
"Female","829"
"Male","864"
"35-39",""
"Female","796"
"Male","801"
"40-44",""
"Female","621"
"Male","696"
"45-49",""
"Female","440"
"Male","566"
"50-54",""
"Female","395"
"Male","445"
"55-59",""
"Female","308"
"Male","340"
"5-9",""
"Female","2080"
"Male","2316"
"60-64",""
"Female","285"
"Male","355"
"65-69",""
"Female","232"
"Male","276"
"70-74",""
"Female","188"
"Male","199"
"75+",""
"Female","165"
"Male","156"
