"Number of households by type of outer wall","Number"
"BambooWall","2686"
"Cement Bonded Bricks/Stone Wall","574"
"Mud Bonded Bricks/Stone Wall","343"
"Not stated","167"
"Others","30"
"Unbaked Bricks","4"
"Wood/Planks","26"
"Total","3830"
