"Number of households by type of outer wall","Number"
"BambooWall","362"
"Cement Bonded Bricks/Stone Wall","1331"
"Mud Bonded Bricks/Stone Wall","881"
"Not stated","65"
"Others","25"
"Unbaked Bricks","3"
"Wood/Planks","4495"
"Total","7162"
