"Population by Mother tongue","Number"
"Gurung",""
"Female","401"
"Male","333"
"Hindi",""
"Female","11"
"Male","14"
"Limbu",""
"Female","2756"
"Male","2282"
"Magar",""
"Female","542"
"Male","496"
"Maithili",""
"Female","22"
"Male","36"
"Nepali",""
"Female","4785"
"Male","3926"
"Newar",""
"Female","125"
"Male","119"
"Not Reported",""
"Female","19"
"Male","23"
"Others",""
"Female","19"
"Male","24"
"Rai",""
"Female","259"
"Male","250"
"Sherpa",""
"Female","55"
"Male","59"
"Tamang",""
"Female","176"
"Male","148"
"Yakkha",""
"Female","36"
"Male","18"
