"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","170"
"Cow Dung","14"
"Electricity Fuel","0"
"KeroseneFuel","57"
"LP Gas","57"
"Not Sated about Fuel","25"
"OthersFuel","0"
"Wood/FireWood","4028"
"Total","4351"
