"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","3691"
"Mud Roof","4"
"Not Sated Roof","34"
"Other Type of Roof","22"
"RCC Roof","29"
"Thatch/Straw Roof","532"
"Tile/Slate Roof","28"
"Wood/Planks Roof","11"
"Total","4351"
