"Population by Caste Ethinicity","Number"
"Badi",""
"Female","54"
"Male","39"
"","93"
"Bangali",""
"Female","27"
"Male","23"
"","50"
"Brahman - Hill",""
"Female","1185"
"Male","953"
"","2138"
"Chhetri",""
"Female","5021"
"Male","4163"
"","9184"
"Dalit Others",""
"Female","83"
"Male","70"
"","153"
"Damai/Dholi",""
"Female","143"
"Male","116"
"","259"
"Kami",""
"Female","964"
"Male","738"
"","1702"
"Newar",""
"Female","25"
"Male","19"
"","44"
"Others",""
"Female","13"
"Male","15"
"","28"
"Rajput",""
"Female","8"
"Male","13"
"","21"
"Sanyasi/Dasnami",""
"Female","242"
"Male","210"
"","452"
"Sarki",""
"Female","291"
"Male","238"
"","529"
"Terai Others",""
"Female","17"
"Male","9"
"","26"
"Thakuri",""
"Female","670"
"Male","544"
"","1214"
