"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","17"
"Cow Dung","3"
"Electricity","0"
"Kerosene","8"
"LP Gas","4"
"Not stated","83"
"Others","2"
"Wood/Firewood","5363"
"Total","5480"
