"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","749"
"Male","658"
"Chhetri",""
"Female","13449"
"Male","13063"
"Dalit Others",""
"Female","301"
"Male","264"
"Damai/Dholi",""
"Female","176"
"Male","143"
"Kami",""
"Female","1794"
"Male","1603"
"Lohar",""
"Female","17"
"Male","24"
"Others",""
"Female","12"
"Male","6"
"Sanyasi/Dasnami",""
"Female","201"
"Male","163"
"Sarki",""
"Female","17"
"Male","21"
"Terai Others",""
"Female","12"
"Male","11"
"Thakuri",""
"Female","273"
"Male","255"
"Undefined Others",""
"Female","7"
"Male","5"
