"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1977"
"Male","1841"
"","3818"
"Chhetri",""
"Female","1342"
"Male","1339"
"","2681"
"Damai/Dholi",""
"Female","395"
"Male","387"
"","782"
"Kami",""
"Female","1756"
"Male","1824"
"","3580"
"Kumal",""
"Female","183"
"Male","170"
"","353"
"Newar",""
"Female","7"
"Male","4"
"","11"
"Others",""
"Female","17"
"Male","14"
"","31"
"Sanyasi/Dasnami",""
"Female","233"
"Male","231"
"","464"
"Sarki",""
"Female","552"
"Male","583"
"","1135"
"Teli",""
"Female","42"
"Male","45"
"","87"
"Thakuri",""
"Female","1692"
"Male","1638"
"","3330"
