"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","888"
"Cow Dung","13"
"Electricity Fuel","1"
"KeroseneFuel","31"
"LP Gas","27"
"Not Sated about Fuel","39"
"OthersFuel","3"
"Wood/FireWood","8049"
"Total","9051"
