"Number of households by type of outer wall","Number"
"BambooWall","1869"
"Cement Bonded Bricks/Stone Wall","997"
"Mud Bonded Bricks/Stone Wall","1891"
"Not Stated about Wall","40"
"Other Type Wall","1680"
"Unbaked Bricks","356"
"Wood/Planks","2218"
"Total","9051"
