"Population by Five Years Age Group","Number"
"0-4",""
"Female","909"
"Male","923"
"10-14",""
"Female","1267"
"Male","1274"
"15-19",""
"Female","1288"
"Male","1296"
"20-24",""
"Female","1083"
"Male","719"
"25-29",""
"Female","884"
"Male","565"
"30-34",""
"Female","775"
"Male","476"
"35-39",""
"Female","710"
"Male","491"
"40-44",""
"Female","707"
"Male","577"
"45-49",""
"Female","605"
"Male","586"
"50-54",""
"Female","574"
"Male","556"
"55-59",""
"Female","391"
"Male","445"
"5-9",""
"Female","1101"
"Male","1029"
"60-64",""
"Female","420"
"Male","387"
"65-69",""
"Female","279"
"Male","281"
"70-74",""
"Female","201"
"Male","222"
"75+",""
"Female","253"
"Male","263"
