"Population by Mother tongue","Number"
"Bantawa",""
"Female","3505"
"Male","3166"
"Bote",""
"Female","5"
"Male","8"
"Chamling",""
"Female","22"
"Male","30"
"Chhintang",""
"Female","107"
"Male","107"
"Gurung",""
"Female","11"
"Male","8"
"Limbu",""
"Female","3274"
"Male","2754"
"Lohorung",""
"Female","81"
"Male","83"
"Magar",""
"Female","932"
"Male","752"
"Maithili",""
"Female","31"
"Male","73"
"Nepali",""
"Female","1372"
"Male","1260"
"Newar",""
"Female","48"
"Male","50"
"Not Reported",""
"Female","53"
"Male","54"
"Others",""
"Female","81"
"Male","68"
"Rai",""
"Female","594"
"Male","566"
"Tamang",""
"Female","350"
"Male","276"
"Tharu",""
"Female","1"
"Male","20"
"Wambule",""
"Female","7"
"Male","7"
"Yakkha",""
"Female","794"
"Male","644"
"Yamphu/Yamphe",""
"Female","179"
"Male","163"
