"Number of households by type of outer wall","Number"
"BambooWall","5755"
"Cement Bonded Bricks/Stone Wall","691"
"Mud Bonded Bricks/Stone Wall","117"
"Not stated","25"
"Others","20"
"Unbaked Bricks","2"
"Wood/Planks","188"
"Total","6798"
