"Industries Types","Number"
"Accommodation and food","1900"
"Administrative and support service activity","20"
"Agriculture, forestry and fishing","547"
"Art, entertainment and recreation","20"
"Construction","13"
"Education","611"
"Electricty gas and water","8"
"Financial intermediation and insurance","250"
"Health and social work","599"
"Information and communications","48"
"Manufacturing","1133"
"Mining and quarrying","14"
"Other service activities","609"
"Professional,scientific and techniqual activity","105"
"Real state, renting and business activities","0"
"Transport and storage","20"
"Water supply, wet management","82"
"Wholesale and retail trade","6454"
"Total","12433"
