"Industries Employment","Number"
"Accommodation,  food",""
"Female","2296"
"Male","2092"
"Administrative, support service",""
"Female","11"
"Male","31"
"Agriculture, forestry and  fishing",""
"Female","282"
"Male","690"
"Arts, entertainment, recreation",""
"Female","4"
"Male","29"
"Construction",""
"Female","4"
"Male","58"
"Education",""
"Female","3692"
"Male","3517"
"Electricity, gas and water",""
"Female","26"
"Male","165"
"Financial intermediation and insurance",""
"Female","1741"
"Male","1507"
"Health, social work",""
"Female","970"
"Male","844"
"Information and communication",""
"Female","94"
"Male","206"
"Manufacturing",""
"Female","1140"
"Male","3062"
"Other service activities",""
"Female","461"
"Male","582"
"Professional, scientific, techniqual activity",""
"Female","68"
"Male","161"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","29"
"Male","60"
"Water supply, wet management",""
"Female","35"
"Male","169"
"Wholesale, retail trade",""
"Female","6178"
"Male","6158"
