"Agricultural land use area","Hectare"
"Area under arable land","30906.00"
"Area under meadows and pasture","490.00"
"Area under permanent crops","1022.00"
"Area under Temporary crops","29781.00"
"Area under temporary fallow","841.00"
"Area under temporary meadows","284.00"
"Other land","1351.00"
"Ponds","11.00"
"Woodland and forest","1002.00"
"Total","65688.00"
