"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","35594"
"Mud Roof","23"
"Not Sated Roof","675"
"Other Type of Roof","98"
"RCC Roof","3034"
"Thatch/Straw Roof","2174"
"Tile/Slate Roof","22748"
"Wood/Planks Roof","2289"
"Total","66635"
