"Population by Five Years Age Group","Number"
"0-4",""
"Female","2711"
"Male","2777"
"10-14",""
"Female","4148"
"Male","4002"
"15-19",""
"Female","2094"
"Male","2372"
"20-24",""
"Female","2114"
"Male","1842"
"25-29",""
"Female","2108"
"Male","1482"
"30-34",""
"Female","1890"
"Male","1174"
"35-39",""
"Female","1942"
"Male","1302"
"40-44",""
"Female","1555"
"Male","1209"
"45-49",""
"Female","1352"
"Male","1248"
"50-54",""
"Female","944"
"Male","1025"
"55-59",""
"Female","772"
"Male","886"
"5-9",""
"Female","3577"
"Male","3712"
"60-64",""
"Female","794"
"Male","801"
"65-69",""
"Female","603"
"Male","617"
"70-74",""
"Female","372"
"Male","378"
"75+",""
"Female","323"
"Male","263"
