"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","13"
"Cow Dung","5568"
"Electricity","0"
"Kerosene","98"
"LP Gas","198"
"Not stated","257"
"Others","84"
"Wood/Firewood","3855"
"Total","10073"
