"Number of households by type of outer wall","Number"
"BambooWall","7008"
"Cement Bonded Bricks/Stone Wall","1963"
"Mud Bonded Bricks/Stone Wall","204"
"Not stated","273"
"Others","17"
"Unbaked Bricks","10"
"Wood/Planks","598"
"Total","10073"
