"Population by Single Year of Age","Number"
"0",""
"Female","1578"
"Male","1829"
"1",""
"Female","1533"
"Male","1699"
"10",""
"Female","2458"
"Male","2747"
"11",""
"Female","2341"
"Male","2416"
"12",""
"Female","2548"
"Male","2792"
"13",""
"Female","2637"
"Male","2770"
"14",""
"Female","2818"
"Male","3132"
"15",""
"Female","2743"
"Male","3038"
"16",""
"Female","2895"
"Male","3312"
"17",""
"Female","2819"
"Male","3312"
"18",""
"Female","3303"
"Male","4246"
"19",""
"Female","2721"
"Male","3203"
"2",""
"Female","1644"
"Male","1881"
"20",""
"Female","3479"
"Male","4347"
"21",""
"Female","2815"
"Male","3428"
"22",""
"Female","3686"
"Male","4214"
"23",""
"Female","3038"
"Male","3296"
"24",""
"Female","3407"
"Male","3418"
"25",""
"Female","3848"
"Male","3796"
"26",""
"Female","3197"
"Male","2957"
"27",""
"Female","3056"
"Male","2823"
"28",""
"Female","3671"
"Male","3549"
"29",""
"Female","2337"
"Male","2382"
"3",""
"Female","1577"
"Male","1788"
"30",""
"Female","4477"
"Male","4268"
"31",""
"Female","1880"
"Male","2089"
"32",""
"Female","3033"
"Male","3182"
"33",""
"Female","2145"
"Male","2188"
"34",""
"Female","2279"
"Male","2330"
"35",""
"Female","3842"
"Male","4024"
"36",""
"Female","2165"
"Male","2184"
"37",""
"Female","1803"
"Male","1948"
"38",""
"Female","2576"
"Male","2715"
"39",""
"Female","1452"
"Male","1638"
"4",""
"Female","1762"
"Male","1978"
"40",""
"Female","3407"
"Male","3831"
"41",""
"Female","1179"
"Male","1339"
"42",""
"Female","1988"
"Male","2363"
"43",""
"Female","1353"
"Male","1517"
"44",""
"Female","1231"
"Male","1353"
"45",""
"Female","2246"
"Male","2636"
"46",""
"Female","1320"
"Male","1371"
"47",""
"Female","1010"
"Male","1227"
"48",""
"Female","1456"
"Male","1648"
"49",""
"Female","952"
"Male","947"
"5",""
"Female","2028"
"Male","2215"
"50",""
"Female","2056"
"Male","2185"
"51",""
"Female","698"
"Male","879"
"52",""
"Female","1053"
"Male","1213"
"53",""
"Female","758"
"Male","773"
"54",""
"Female","783"
"Male","760"
"55",""
"Female","1305"
"Male","1366"
"56",""
"Female","860"
"Male","831"
"57",""
"Female","627"
"Male","705"
"58",""
"Female","845"
"Male","866"
"59",""
"Female","521"
"Male","519"
"6",""
"Female","2058"
"Male","2158"
"60",""
"Female","1453"
"Male","1254"
"61",""
"Female","554"
"Male","523"
"62",""
"Female","646"
"Male","670"
"63",""
"Female","465"
"Male","468"
"64",""
"Female","520"
"Male","498"
"65",""
"Female","1013"
"Male","881"
"66",""
"Female","487"
"Male","469"
"67",""
"Female","515"
"Male","457"
"68",""
"Female","629"
"Male","592"
"69",""
"Female","283"
"Male","259"
"7",""
"Female","2083"
"Male","2417"
"70",""
"Female","830"
"Male","634"
"71",""
"Female","254"
"Male","311"
"72",""
"Female","407"
"Male","414"
"73",""
"Female","317"
"Male","291"
"74",""
"Female","302"
"Male","287"
"75",""
"Female","516"
"Male","385"
"76",""
"Female","271"
"Male","222"
"77",""
"Female","294"
"Male","251"
"78",""
"Female","328"
"Male","260"
"79",""
"Female","163"
"Male","130"
"8",""
"Female","2193"
"Male","2470"
"80",""
"Female","323"
"Male","216"
"81",""
"Female","110"
"Male","112"
"82",""
"Female","164"
"Male","148"
"83",""
"Female","106"
"Male","88"
"84",""
"Female","157"
"Male","103"
"85",""
"Female","728"
"Male","504"
"9",""
"Female","2162"
"Male","2343"
