"Number of households by type of outer wall","Number"
"BambooWall","488"
"Cement Bonded Bricks/Stone Wall","53713"
"Mud Bonded Bricks/Stone Wall","12212"
"Not stated","2817"
"Others","246"
"Unbaked Bricks","330"
"Wood/Planks","450"
"Total","70256"
