"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","24"
"Cow Dung","38"
"Electricity","183"
"Kerosene","2401"
"LP Gas","63627"
"Not stated","556"
"Others","190"
"Wood/Firewood","3237"
"Total","70256"
