"Population by Caste Ethinicity","Number"
"Badi",""
"Female","21"
"Male","21"
"","42"
"Bangali",""
"Female","25"
"Male","16"
"","41"
"Brahman - Hill",""
"Female","1936"
"Male","1741"
"","3677"
"Chhetri",""
"Female","3758"
"Male","3532"
"","7290"
"Damai/Dholi",""
"Female","800"
"Male","760"
"","1560"
"Gurung",""
"Female","68"
"Male","81"
"","149"
"Kami",""
"Female","3330"
"Male","3022"
"","6352"
"Lohar",""
"Female","48"
"Male","42"
"","90"
"Magar",""
"Female","2419"
"Male","2366"
"","4785"
"Majhi",""
"Female","34"
"Male","24"
"","58"
"Newar",""
"Female","53"
"Male","50"
"","103"
"Others",""
"Female","14"
"Male","19"
"","33"
"Raji",""
"Female","91"
"Male","97"
"","188"
"Sanyasi/Dasnami",""
"Female","90"
"Male","95"
"","185"
"Sarki",""
"Female","50"
"Male","51"
"","101"
"Tamang",""
"Female","6"
"Male","10"
"","16"
"Terai Others",""
"Female","10"
"Male","7"
"","17"
"Thakuri",""
"Female","259"
"Male","262"
"","521"
"Tharu",""
"Female","14"
"Male","18"
"","32"
