"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1082"
"Male","935"
"Chhetri",""
"Female","1675"
"Male","1451"
"Damai/Dholi",""
"Female","213"
"Male","179"
"Gaine",""
"Female","24"
"Male","20"
"Gharti/Bhujel",""
"Female","379"
"Male","344"
"Hajam/Thakur",""
"Female","28"
"Male","31"
"Kami",""
"Female","489"
"Male","369"
"Kumal",""
"Female","29"
"Male","31"
"Limbu",""
"Female","13"
"Male","7"
"Magar",""
"Female","1429"
"Male","1252"
"Majhi",""
"Female","78"
"Male","59"
"Newar",""
"Female","1088"
"Male","903"
"Others",""
"Female","38"
"Male","46"
"Rai",""
"Female","1971"
"Male","1671"
"Sanyasi/Dasnami",""
"Female","54"
"Male","48"
"Sarki",""
"Female","190"
"Male","147"
"Tamang",""
"Female","653"
"Male","542"
"Thakuri",""
"Female","17"
"Male","12"
"Thami",""
"Female","110"
"Male","80"
