"Agricultural land use area","Hectare"
"Area under arable land","7020.78"
"Area under meadows and pasture","107.92"
"Area under permanent crops","381.89"
"Area under Temporary crops","6726.49"
"Area under temporary fallow","210.01"
"Area under temporary meadows","84.29"
"Other land","643.88"
"Ponds","16.36"
"Woodland and forest","1129.52"
