"Population by Single Year of Age","Number"
"0",""
"Female","2776"
"Male","3176"
"1",""
"Female","2646"
"Male","2902"
"10",""
"Female","4129"
"Male","4692"
"11",""
"Female","3933"
"Male","4100"
"12",""
"Female","4450"
"Male","4880"
"13",""
"Female","4450"
"Male","4721"
"14",""
"Female","4908"
"Male","5135"
"15",""
"Female","4783"
"Male","5098"
"16",""
"Female","4999"
"Male","5510"
"17",""
"Female","4733"
"Male","5260"
"18",""
"Female","5511"
"Male","6552"
"19",""
"Female","4440"
"Male","4788"
"2",""
"Female","2781"
"Male","3086"
"20",""
"Female","5782"
"Male","6390"
"21",""
"Female","4478"
"Male","5005"
"22",""
"Female","5958"
"Male","6190"
"23",""
"Female","4877"
"Male","4867"
"24",""
"Female","5309"
"Male","5044"
"25",""
"Female","6173"
"Male","5658"
"26",""
"Female","4943"
"Male","4555"
"27",""
"Female","4708"
"Male","4265"
"28",""
"Female","5780"
"Male","5420"
"29",""
"Female","3443"
"Male","3442"
"3",""
"Female","2760"
"Male","3010"
"30",""
"Female","7168"
"Male","6569"
"31",""
"Female","2781"
"Male","3075"
"32",""
"Female","4633"
"Male","4654"
"33",""
"Female","3206"
"Male","3245"
"34",""
"Female","3471"
"Male","3466"
"35",""
"Female","6161"
"Male","6234"
"36",""
"Female","3314"
"Male","3262"
"37",""
"Female","2763"
"Male","2811"
"38",""
"Female","3972"
"Male","4039"
"39",""
"Female","2290"
"Male","2418"
"4",""
"Female","3050"
"Male","3316"
"40",""
"Female","5699"
"Male","6047"
"41",""
"Female","1794"
"Male","2033"
"42",""
"Female","3085"
"Male","3590"
"43",""
"Female","2093"
"Male","2319"
"44",""
"Female","1892"
"Male","2096"
"45",""
"Female","3785"
"Male","4166"
"46",""
"Female","2009"
"Male","2110"
"47",""
"Female","1593"
"Male","1909"
"48",""
"Female","2331"
"Male","2528"
"49",""
"Female","1520"
"Male","1488"
"5",""
"Female","3424"
"Male","3732"
"50",""
"Female","3529"
"Male","3625"
"51",""
"Female","1125"
"Male","1390"
"52",""
"Female","1752"
"Male","1972"
"53",""
"Female","1203"
"Male","1248"
"54",""
"Female","1229"
"Male","1207"
"55",""
"Female","2219"
"Male","2263"
"56",""
"Female","1299"
"Male","1365"
"57",""
"Female","1037"
"Male","1157"
"58",""
"Female","1330"
"Male","1377"
"59",""
"Female","831"
"Male","835"
"6",""
"Female","3456"
"Male","3576"
"60",""
"Female","2543"
"Male","2176"
"61",""
"Female","854"
"Male","834"
"62",""
"Female","1017"
"Male","1056"
"63",""
"Female","743"
"Male","732"
"64",""
"Female","784"
"Male","759"
"65",""
"Female","1751"
"Male","1466"
"66",""
"Female","779"
"Male","731"
"67",""
"Female","817"
"Male","750"
"68",""
"Female","1020"
"Male","974"
"69",""
"Female","428"
"Male","430"
"7",""
"Female","3615"
"Male","4015"
"70",""
"Female","1452"
"Male","1105"
"71",""
"Female","405"
"Male","494"
"72",""
"Female","666"
"Male","672"
"73",""
"Female","485"
"Male","444"
"74",""
"Female","462"
"Male","422"
"75",""
"Female","848"
"Male","673"
"76",""
"Female","443"
"Male","370"
"77",""
"Female","480"
"Male","373"
"78",""
"Female","574"
"Male","453"
"79",""
"Female","256"
"Male","216"
"8",""
"Female","3644"
"Male","4193"
"80",""
"Female","555"
"Male","398"
"81",""
"Female","162"
"Male","171"
"82",""
"Female","254"
"Male","239"
"83",""
"Female","165"
"Male","162"
"84",""
"Female","243"
"Male","189"
"85",""
"Female","1158"
"Male","817"
"9",""
"Female","3653"
"Male","3900"
