"Number of households by type of outer wall","Number"
"BambooWall","606"
"Cement Bonded Bricks/Stone Wall","71117"
"Mud Bonded Bricks/Stone Wall","32342"
"Not stated","3806"
"Others","298"
"Unbaked Bricks","751"
"Wood/Planks","585"
"Total","109505"
