"Population by Five Years Age Group","Number"
"0-4",""
"Female","14013"
"Male","15490"
"10-14",""
"Female","21870"
"Male","23528"
"15-19",""
"Female","24466"
"Male","27208"
"20-24",""
"Female","26404"
"Male","27496"
"25-29",""
"Female","25047"
"Male","23340"
"30-34",""
"Female","21259"
"Male","21009"
"35-39",""
"Female","18500"
"Male","18764"
"40-44",""
"Female","14563"
"Male","16085"
"45-49",""
"Female","11238"
"Male","12201"
"50-54",""
"Female","8838"
"Male","9442"
"55-59",""
"Female","6716"
"Male","6997"
"5-9",""
"Female","17792"
"Male","19416"
"60-64",""
"Female","5941"
"Male","5557"
"65-69",""
"Female","4795"
"Male","4351"
"70-74",""
"Female","3470"
"Male","3137"
"75+",""
"Female","5138"
"Male","4061"
