"Population by Five Years Age Group","Number"
"0-4",""
"Female","323"
"Male","339"
"10-14",""
"Female","614"
"Male","583"
"15-19",""
"Female","539"
"Male","445"
"20-24",""
"Female","365"
"Male","250"
"25-29",""
"Female","341"
"Male","228"
"30-34",""
"Female","262"
"Male","190"
"35-39",""
"Female","262"
"Male","202"
"40-44",""
"Female","250"
"Male","200"
"45-49",""
"Female","220"
"Male","209"
"50-54",""
"Female","195"
"Male","214"
"55-59",""
"Female","137"
"Male","141"
"5-9",""
"Female","470"
"Male","432"
"60-64",""
"Female","124"
"Male","136"
"65-69",""
"Female","116"
"Male","96"
"70-74",""
"Female","74"
"Male","83"
"75+",""
"Female","129"
"Male","129"
