"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","27"
"Male","26"
"Brahman - Hill",""
"Female","1229"
"Male","1050"
"Brahman - Tarai",""
"Female","10"
"Male","7"
"Chhetri",""
"Female","202"
"Male","166"
"Damai/Dholi",""
"Female","55"
"Male","57"
"Ghale",""
"Female","57"
"Male","52"
"Gurung",""
"Female","566"
"Male","480"
"Kami",""
"Female","95"
"Male","97"
"Magar",""
"Female","133"
"Male","92"
"Newar",""
"Female","78"
"Male","85"
"Others",""
"Female","16"
"Male","27"
"Tamang",""
"Female","1942"
"Male","1706"
