"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","13"
"Cow Dung","5597"
"Electricity","2"
"Kerosene","75"
"LP Gas","90"
"Not stated","114"
"Others","93"
"Wood/Firewood","3407"
"Total","9391"
