"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","5"
"Male","7"
"Brahman - Hill",""
"Female","1317"
"Male","1216"
"Brahman - Tarai",""
"Female","8"
"Male","10"
"Chhetri",""
"Female","2265"
"Male","1966"
"Damai/Dholi",""
"Female","184"
"Male","158"
"Gharti/Bhujel",""
"Female","93"
"Male","89"
"Gurung",""
"Female","83"
"Male","76"
"Kami",""
"Female","441"
"Male","383"
"Limbu",""
"Female","2441"
"Male","2106"
"Magar",""
"Female","1351"
"Male","1194"
"Newar",""
"Female","374"
"Male","325"
"Others",""
"Female","20"
"Male","20"
"Rai",""
"Female","2134"
"Male","1846"
"Sanyasi/Dasnami",""
"Female","114"
"Male","97"
"Sarki",""
"Female","43"
"Male","38"
"Sherpa",""
"Female","9"
"Male","5"
"Sunuwar",""
"Female","168"
"Male","149"
"Tamang",""
"Female","428"
"Male","399"
"Undefined Others",""
"Female","29"
"Male","28"
