"Population by Mother tongue","Number"
"Bantawa",""
"Female","646"
"Male","524"
"Bhujel",""
"Female","18"
"Male","18"
"Chamling",""
"Female","22"
"Male","29"
"Gurung",""
"Female","70"
"Male","67"
"Hindi",""
"Female","8"
"Male","7"
"Kulung",""
"Female","8"
"Male","4"
"Limbu",""
"Female","2413"
"Male","2065"
"Magar",""
"Female","1301"
"Male","1160"
"Maithili",""
"Female","5"
"Male","10"
"Nepali",""
"Female","4626"
"Male","4091"
"Newar",""
"Female","322"
"Male","293"
"Not Reported",""
"Female","24"
"Male","24"
"Others",""
"Female","103"
"Male","104"
"Rai",""
"Female","1335"
"Male","1157"
"Sampang",""
"Female","16"
"Male","22"
"Sherpa",""
"Female","9"
"Male","5"
"Sunuwar",""
"Female","162"
"Male","145"
"Tamang",""
"Female","419"
"Male","387"
