"Number of households by type of outer wall","Number"
"BambooWall","3572"
"Cement Bonded Bricks/Stone Wall","661"
"Mud Bonded Bricks/Stone Wall","6295"
"Not Stated about Wall","49"
"Other Type Wall","1647"
"Unbaked Bricks","827"
"Wood/Planks","217"
"Total","13268"
