"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","173"
"Male","171"
"Chepang /Praja",""
"Female","1963"
"Male","2081"
"Chhetri",""
"Female","569"
"Male","520"
"Dalit Others",""
"Female","23"
"Male","27"
"Damai/Dholi",""
"Female","84"
"Male","81"
"Ghale",""
"Female","6"
"Male","5"
"Gharti/Bhujel",""
"Female","73"
"Male","58"
"Gurung",""
"Female","263"
"Male","247"
"Kami",""
"Female","329"
"Male","283"
"Magar",""
"Female","276"
"Male","293"
"Newar",""
"Female","52"
"Male","47"
"Others",""
"Female","23"
"Male","45"
"Sanyasi/Dasnami",""
"Female","43"
"Male","46"
"Tamang",""
"Female","8071"
"Male","7992"
"Thakuri",""
"Female","28"
"Male","26"
"Yadav",""
"Female","3"
"Male","21"
