"Number of households by type of outer wall","Number"
"BambooWall","7833"
"Cement Bonded Bricks/Stone Wall","2611"
"Mud Bonded Bricks/Stone Wall","228"
"Not stated","56"
"Others","52"
"Unbaked Bricks","8"
"Wood/Planks","703"
"Total","11491"
