"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","583"
"Cow Dung","1623"
"Electricity","12"
"Kerosene","65"
"LP Gas","1723"
"Not stated","48"
"Others","83"
"Wood/Firewood","7354"
"Total","11491"
