"Population by Five Years Age Group","Number"
"0-4",""
"Female","1950"
"Male","1989"
"10-14",""
"Female","3134"
"Male","3109"
"15-19",""
"Female","3303"
"Male","3035"
"20-24",""
"Female","2767"
"Male","2020"
"25-29",""
"Female","2425"
"Male","1592"
"30-34",""
"Female","2114"
"Male","1444"
"35-39",""
"Female","1979"
"Male","1572"
"40-44",""
"Female","1668"
"Male","1450"
"45-49",""
"Female","1466"
"Male","1328"
"50-54",""
"Female","1143"
"Male","1231"
"55-59",""
"Female","935"
"Male","952"
"5-9",""
"Female","2447"
"Male","2540"
"60-64",""
"Female","846"
"Male","878"
"65-69",""
"Female","622"
"Male","605"
"70-74",""
"Female","447"
"Male","415"
"75+",""
"Female","492"
"Male","430"
