"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","663"
"Cow Dung","94"
"Electricity Fuel","2"
"KeroseneFuel","57"
"LP Gas","3282"
"Not Sated about Fuel","21"
"OthersFuel","33"
"Wood/FireWood","8240"
"Total","12392"
