"Number of households by type of outer wall","Number"
"BambooWall","748"
"Cement Bonded Bricks/Stone Wall","6516"
"Mud Bonded Bricks/Stone Wall","3553"
"Not Stated about Wall","40"
"Other Type Wall","620"
"Unbaked Bricks","200"
"Wood/Planks","715"
"Total","12392"
