"Population by Five Years Age Group","Number"
"0-4",""
"Female","1065"
"Male","1021"
"10-14",""
"Female","1361"
"Male","1447"
"15-19",""
"Female","1149"
"Male","1024"
"20-24",""
"Female","771"
"Male","627"
"25-29",""
"Female","665"
"Male","580"
"30-34",""
"Female","568"
"Male","519"
"35-39",""
"Female","514"
"Male","509"
"40-44",""
"Female","492"
"Male","466"
"45-49",""
"Female","420"
"Male","419"
"50-54",""
"Female","368"
"Male","386"
"55-59",""
"Female","315"
"Male","317"
"5-9",""
"Female","1314"
"Male","1308"
"60-64",""
"Female","303"
"Male","267"
"65-69",""
"Female","240"
"Male","244"
"70-74",""
"Female","132"
"Male","197"
"75+",""
"Female","252"
"Male","230"
