"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","51"
"Male","63"
"Brahman - Hill",""
"Female","615"
"Male","603"
"Chhetri",""
"Female","3357"
"Male","3239"
"Damai/Dholi",""
"Female","687"
"Male","656"
"Gurung",""
"Female","398"
"Male","366"
"Kami",""
"Female","3105"
"Male","2935"
"Kumal",""
"Female","66"
"Male","58"
"Magar",""
"Female","4218"
"Male","3904"
"Newar",""
"Female","46"
"Male","35"
"Others",""
"Female","28"
"Male","37"
"Rajdhob",""
"Female","15"
"Male","13"
"Raji",""
"Female","178"
"Male","155"
"Sanyasi/Dasnami",""
"Female","307"
"Male","271"
"Sarki",""
"Female","140"
"Male","151"
"Terai Others",""
"Female","16"
"Male","10"
"Thakuri",""
"Female","589"
"Male","490"
