"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","26"
"Male","16"
"Brahman - Hill",""
"Female","4891"
"Male","3305"
"Chhetri",""
"Female","1015"
"Male","699"
"Dalit Others",""
"Female","16"
"Male","14"
"Damai/Dholi",""
"Female","450"
"Male","283"
"Gharti/Bhujel",""
"Female","91"
"Male","62"
"Kami",""
"Female","942"
"Male","660"
"Kumal",""
"Female","350"
"Male","321"
"Magar",""
"Female","3610"
"Male","2609"
"Musalman",""
"Female","24"
"Male","14"
"Newar",""
"Female","216"
"Male","196"
"Others",""
"Female","19"
"Male","17"
"Sanyasi/Dasnami",""
"Female","84"
"Male","57"
"Sarki",""
"Female","862"
"Male","562"
"Terai Others",""
"Female","9"
"Male","4"
"Thakuri",""
"Female","14"
"Male","7"
"Tharu",""
"Female","16"
"Male","20"
