"Number of households by type of outer wall","Number"
"BambooWall","6988"
"Cement Bonded Bricks/Stone Wall","1067"
"Mud Bonded Bricks/Stone Wall","163"
"Not Stated about Wall","66"
"Other Type Wall","53"
"Unbaked Bricks","7"
"Wood/Planks","216"
"Total","8560"
