"Number of households by type of outer wall","Number"
"BambooWall","3575"
"Cement Bonded Bricks/Stone Wall","974"
"Mud Bonded Bricks/Stone Wall","163"
"Not Stated about Wall","14"
"Other Type Wall","29"
"Unbaked Bricks","3"
"Wood/Planks","51"
"Total","4809"
