"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","2"
"Christianity","4"
"Hindu","23399"
"Islam","5900"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","1"
"Undefined","9"
"Total","29315"
