"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","516"
"Male","416"
"Chhetri",""
"Female","1756"
"Male","1501"
"Dalit Others",""
"Female","10"
"Male","11"
"Damai/Dholi",""
"Female","311"
"Male","245"
"Gharti/Bhujel",""
"Female","33"
"Male","28"
"Gurung",""
"Female","102"
"Male","90"
"Kami",""
"Female","738"
"Male","609"
"Kathabaniyan",""
"Female","10"
"Male","8"
"Kumal",""
"Female","5"
"Male","9"
"Limbu",""
"Female","778"
"Male","699"
"Magar",""
"Female","394"
"Male","341"
"Newar",""
"Female","861"
"Male","809"
"Others",""
"Female","37"
"Male","33"
"Rai",""
"Female","645"
"Male","557"
"Sanyasi/Dasnami",""
"Female","302"
"Male","270"
"Sarki",""
"Female","84"
"Male","72"
"Sherpa",""
"Female","281"
"Male","252"
"Tamang",""
"Female","1814"
"Male","1574"
"Thakuri",""
"Female","23"
"Male","10"
"Yakkha",""
"Female","678"
"Male","609"
