"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","42"
"Male","36"
"Brahman - Hill",""
"Female","2270"
"Male","1885"
"Chhetri",""
"Female","4496"
"Male","3847"
"Dalit Others",""
"Female","1358"
"Male","1184"
"Damai/Dholi",""
"Female","218"
"Male","174"
"Gurung",""
"Female","6"
"Male","5"
"Kami",""
"Female","427"
"Male","356"
"Newar",""
"Female","13"
"Male","10"
"Others",""
"Female","7"
"Male","8"
"Sanyasi/Dasnami",""
"Female","133"
"Male","115"
"Sarki",""
"Female","340"
"Male","299"
"Thakuri",""
"Female","381"
"Male","342"
