"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1548"
"Male","1481"
"Brahmu/ Baramo",""
"Female","16"
"Male","18"
"Chhetri",""
"Female","489"
"Male","466"
"Dalit Others",""
"Female","11"
"Male","13"
"Damai/Dholi",""
"Female","27"
"Male","36"
"Ghale",""
"Female","88"
"Male","97"
"Kami",""
"Female","126"
"Male","121"
"Magar",""
"Female","389"
"Male","384"
"Newar",""
"Female","9"
"Male","15"
"Others",""
"Female","24"
"Male","33"
"Tamang",""
"Female","3861"
"Male","3786"
"Terai Others",""
"Female","7"
"Male","4"
