"Population by Five Years Age Group","Number"
"0-4",""
"Female","618"
"Male","600"
"10-14",""
"Female","839"
"Male","908"
"15-19",""
"Female","768"
"Male","720"
"20-24",""
"Female","666"
"Male","515"
"25-29",""
"Female","498"
"Male","445"
"30-34",""
"Female","407"
"Male","354"
"35-39",""
"Female","404"
"Male","360"
"40-44",""
"Female","368"
"Male","373"
"45-49",""
"Female","299"
"Male","310"
"50-54",""
"Female","251"
"Male","306"
"55-59",""
"Female","205"
"Male","255"
"5-9",""
"Female","740"
"Male","767"
"60-64",""
"Female","170"
"Male","173"
"65-69",""
"Female","135"
"Male","161"
"70-74",""
"Female","99"
"Male","87"
"75+",""
"Female","128"
"Male","120"
