"Number of households by type of outer wall","Number"
"BambooWall","2485"
"Cement Bonded Bricks/Stone Wall","589"
"Mud Bonded Bricks/Stone Wall","615"
"Not Stated about Wall","40"
"Other Type Wall","180"
"Unbaked Bricks","7"
"Wood/Planks","44"
"Total","3960"
