"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","23"
"Cow Dung","7"
"Electricity","2"
"Kerosene","334"
"LP Gas","13696"
"Not stated","110"
"Others","33"
"Wood/Firewood","2541"
"Total","16746"
