"Population by Five Years Age Group","Number"
"0-4",""
"Female","2255"
"Male","2502"
"10-14",""
"Female","3157"
"Male","3396"
"15-19",""
"Female","3596"
"Male","3976"
"20-24",""
"Female","4742"
"Male","4466"
"25-29",""
"Female","4049"
"Male","4422"
"30-34",""
"Female","3194"
"Male","3234"
"35-39",""
"Female","2516"
"Male","2644"
"40-44",""
"Female","1976"
"Male","2208"
"45-49",""
"Female","1382"
"Male","1582"
"50-54",""
"Female","1049"
"Male","1209"
"55-59",""
"Female","837"
"Male","805"
"5-9",""
"Female","2607"
"Male","2984"
"60-64",""
"Female","713"
"Male","697"
"65-69",""
"Female","550"
"Male","501"
"70-74",""
"Female","344"
"Male","327"
"75+",""
"Female","527"
"Male","416"
