"Population by Five Years Age Group","Number"
"0-4",""
"Female","220"
"Male","201"
"10-14",""
"Female","260"
"Male","195"
"15-19",""
"Female","162"
"Male","137"
"20-24",""
"Female","165"
"Male","120"
"25-29",""
"Female","146"
"Male","150"
"30-34",""
"Female","115"
"Male","110"
"35-39",""
"Female","137"
"Male","119"
"40-44",""
"Female","94"
"Male","104"
"45-49",""
"Female","81"
"Male","98"
"50-54",""
"Female","73"
"Male","78"
"55-59",""
"Female","51"
"Male","56"
"5-9",""
"Female","241"
"Male","213"
"60-64",""
"Female","72"
"Male","50"
"65-69",""
"Female","49"
"Male","25"
"70-74",""
"Female","26"
"Male","15"
"75+",""
"Female","27"
"Male","15"
