"Population by Five Years Age Group","Number"
"0-4",""
"Female","1502"
"Male","1588"
"10-14",""
"Female","2236"
"Male","2177"
"15-19",""
"Female","2122"
"Male","1713"
"20-24",""
"Female","1868"
"Male","1047"
"25-29",""
"Female","1642"
"Male","796"
"30-34",""
"Female","1243"
"Male","708"
"35-39",""
"Female","1100"
"Male","733"
"40-44",""
"Female","905"
"Male","627"
"45-49",""
"Female","864"
"Male","675"
"50-54",""
"Female","747"
"Male","641"
"55-59",""
"Female","578"
"Male","571"
"5-9",""
"Female","1974"
"Male","2056"
"60-64",""
"Female","527"
"Male","574"
"65-69",""
"Female","327"
"Male","383"
"70-74",""
"Female","274"
"Male","278"
"75+",""
"Female","313"
"Male","330"
