"Population by Mother tongue","Number"
"Bangla",""
"Female","4"
"Male","8"
"Bhojpuri",""
"Female","1112"
"Male","1100"
"Gurung",""
"Female","486"
"Male","402"
"Hindi",""
"Female","23"
"Male","31"
"Kumal",""
"Female","194"
"Male","166"
"Magar",""
"Female","6260"
"Male","5045"
"Maithili",""
"Female","63"
"Male","68"
"Nepali",""
"Female","9054"
"Male","7121"
"Newar",""
"Female","253"
"Male","207"
"Others",""
"Female","30"
"Male","21"
"Rai",""
"Female","9"
"Male","6"
"Sign Language",""
"Female","13"
"Male","17"
"Tamang",""
"Female","200"
"Male","182"
"Tharu",""
"Female","444"
"Male","378"
"Urdu",""
"Female","24"
"Male","22"
